Year;Month;Charges;;;;;;;;;
2020;Jan;2686.05;;;;;;;;;
2020;Feb;7895.15;;;;;;;;;
2020;Mar;1022.95;;;;;;;;;
2020;Apr;7382.25;;;;;;;;;
2020;May;5284.35;;;;;;;;;
2020;Jun;1862.9;;;;;;;;;
2020;Jul;3914.65;;;;;;;;;
2020;Aug;2025.25;;;;;;;;;
2020;Sep;2004.15;;;;;;;;;
2020;Oct;3505.1;;;;;;;;;
2020;Nov;2970.3;;;;;;;;;
2020;Dec;1530.6;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
